ts	phase	decision	why	evidence	result
2026-09-17T19:42:55Z	frame	Keep installed gateway running and compare runtime ownership designs	Tool gaps make request counters insufficient evidence for shutdown	docs/update-safety-audit.md	open
2026-09-17T20:27:53Z	design	Choose retained independent Python service as first unit	Separates UI lifetime without enabling unproven rolling admission	docs/verification/safe-runtime-plan.md; docs/desktop-lifecycle-evidence.md	implemented; live lifecycle gate closed
2026-09-17T20:27:53Z	ownership	Retain unfinished turns and reject uncertain replay	Tool gaps and crashes cannot prove completed desktop work	Tests/test_gateway_runtime.py; Tests/test_gateway_lifecycle.py	37 domain and 10 production cases pass
2026-09-17T20:27:53Z	review	Use separate server-proof secret and same TCP connection before owner controls	Inference token alone and valid-looking status cannot authenticate a local server	Tests/test_gateway_service.py; ModelHarbor/Support/gateway_control.py	26 helper tests pass
2026-09-17T20:27:53Z	review	Bind proof to actual credentials and ignore stale outcomes	Concurrent reconfiguration must not verify or clear a replacement key	Tests/test_provider_connections.py	16 provider tests pass
2026-09-17T20:27:53Z	verification	Disable bytecode writes when testing the signed bundle	Packaged imports added pyc files and staging correctly rejected the changed signature	Tests/test_gateway_lifecycle.py; .github/workflows/ci.yml	rebuilt; 10 packaged tests and signed staging pass
2026-09-17T20:33:30.728602+00:00	bifrost	Do not migrate after failed conformance checks	Encrypted reasoning was dropped and Retry-After was violated	docs/bifrost-evaluation.md; experiments/bifrost/results.focused.json	no-go; no live Azure request or route change
2026-09-17T20:40:29.842793+00:00	verification	Require cleanup and truthful aggregate pilot gates	A failed report write must not leak containers and a partial matrix must not claim full success	Tests/test_bifrost_pilot.py	10 regressions pass; combined Python suite 241 passed
2026-09-17T21:12:59.289081+00:00	bifrost	Add native Azure passthrough with configured retries disabled	Converted model classification strips encrypted history; native body transport avoids conversion	docs/bifrost-evaluation.md; experiments/bifrost/pilot.py	24-case candidate matrix; actual native transport unverified
2026-09-17T21:12:59.289302+00:00	review	Require complete ordered frames and attributed worker overlap	Substring checks and first-terminal reads could hide corruption; global activity could miscount workers	Tests/test_bifrost_pilot.py; experiments/bifrost/probe.py	27 focused tests and 258 combined Python tests passed
2026-09-17T21:12:59.289307+00:00	verification	Move synthetic native contract execution to an isolated CI runner	Local Docker start timed out before requests; observed VM available memory was 308MiB	experiments/bifrost/results.passthrough-startup-failed.json; .github/workflows/bifrost-pilot.yml	Local owned containers absent and network removed; no live changes
2026-09-17T21:20:05.501645+00:00	verification	Keep native passthrough as a candidate after successful isolated conformance	All24cases and content/version/cleanup gates passed on pinnedAMD64; liveAzure and desktoplifecycle remain unverified	experiments/bifrost/results.passthrough-ci.json; GitHubActions35275679952	synthetic transport pass; production no-go
2026-09-17T21:36:55.510575+00:00	verification	Add native ARM64 CI and three samples per architecture	Local Colima read-only check showed 91MiB available and no swap; hosted runner avoids adding local load	.github/workflows/bifrost-pilot.yml; experiments/bifrost/README.md	Workflow YAML and embedded Python validate; actual matrix result pending
2026-09-17T21:41:24.629205+00:00	verification	Close the synthetic native-image architecture and repeated-sample gates	All six complete matrices passed with assigned image pins and cleanup; local VM remains constrained	Actions35277669718; experiments/bifrost/results.passthrough-matrix-ci.json	3x24 cases on each of ARM64 and AMD64; no live-provider or desktop migration claim
2026-09-17	Measure Bifrost admission and stream lifetime separately	Worker concurrency may only limit setup; a bounded queue alone does not establish swarm pacing	Pressure harness with one worker/one slot, concurrent followers, fullstream barriers, and exact request IDs; 40 hermetic tests and independent review pass	Hosted pinned transport execution pending; pacing_verified remains false
2026-09-17	Do not use Bifrost worker concurrency as a stream-lifetime cap	Two established streams overlap with concurrency=1 on both pinned architectures	Actions35279368950; unchanged pressure reports, exact attempt counts, and hash/checkout provenance retained	Transport candidate remains no-go for production swarm pacing; live routes unchanged
2026-09-17	Hold Azure admission through upstream close	Pinned Bifrost worker concurrency did not cap established streams	20 scheduler tests; 6 real HTTP-handler tests; 298 full Python tests; 71 Swift tests; 10 packaged checks	Staged only; per-process limits; total deadlines and actual desktop retry ownership remain open
